,Date,Open,High,Low,Close,Volume,Percent_change
0,2023-11-30,449.4029300641163,450.6658509124953,447.2914678041033,450.3106384277344,79752700,0.0
1,2023-12-01,449.6890522819171,453.5172896838072,449.08720542656886,452.9746398925781,89097900,-0.5881127176292942
2,2023-12-04,449.5213482529063,452.99437324426606,448.27814965530376,450.5968017578125,72430900,0.5277086134409958
3,2023-12-05,449.1859080829119,451.48480785849927,448.8010970293027,450.5080261230469,69793500,0.0197056721784969
4,2023-12-06,452.68851845500063,452.71811698822273,448.24855780922735,448.6925659179688,69124700,0.4046111620690485
5,2023-12-07,450.8138458550292,452.77728535861246,450.2021228002691,452.1162414550781,66995400,-0.7572555956164535
6,2023-12-08,451.35650398294894,454.60261682920384,451.10983951369815,454.0599670410156,83080900,-0.4280768460175485
7,2023-12-11,453.55677916289176,456.0037016308019,453.3397132172674,455.8260803222656,65002200,-0.3874533199156509
8,2023-12-12,455.4708822969885,458.0066002769513,454.4546258842576,457.9079284667969,68327600,-0.4546433933786333
9,2023-12-13,458.2927407923686,464.47910539916734,457.927682169146,464.2225646972656,93278000,-1.3602605109440826
10,2023-12-14,466.1958550766466,467.4094551264348,462.9892169200348,465.71240234375,119026000,-0.3199050828336543
11,2023-12-15,465.1040960938248,466.30281425087225,463.063342675489,464.9455871582031,141319300,0.1649257906142804
12,2023-12-18,466.5802016772376,468.5615180422363,465.5003878862119,467.5609436035156,70375300,-0.5593616150133963
13,2023-12-19,468.1157262236858,470.4834138746896,468.0364868685952,470.4041442871094,55761800,-0.604416589038045
14,2023-12-20,469.532353738519,471.454233072206,463.4497280889808,463.8856201171875,102921000,1.4052007407074087
15,2023-12-21,466.926891594295,468.56150172448406,464.4601624801723,468.28411865234375,86667500,-0.939279885855304
16,2023-12-22,469.4332800009819,470.9390998133276,467.2934848942078,469.2252502441406,67126600,-0.2005713868354695
17,2023-12-26,469.64134681035824,472.12787836963616,469.5620772230368,471.2065734863281,55387000,-0.4204786931405122
18,2023-12-27,470.9985516696693,472.2071559205437,470.4537017357259,472.0585632324219,68000300,-0.1804839086616178
19,2023-12-28,472.4250743953043,473.088798441046,471.8108711652192,472.2368469238281,77158100,-0.0377530242647514
20,2023-12-29,472.03872040757216,472.5736843056148,468.8785183017572,470.8697509765625,122234100,0.2903342048263517
21,2024-01-02,467.7491452971935,469.2450487447184,466.09473292130616,468.2345581054688,123623700,0.5627933319907111
22,2024-01-03,466.0353388074389,466.7882487284356,463.7964717901159,464.4106750488281,103585900,0.8233839707148382
23,2024-01-04,463.925194304594,466.5603485816866,462.6868716311006,462.9147338867188,84232200,0.3231569558283818
24,2024-01-05,463.1227916053173,466.0452453842852,462.07269633336375,463.5487976074219,86060800,-0.1367846759555424
25,2024-01-08,464.0540075167423,470.3149745175654,463.92521711516855,470.1663818359375,74879100,-1.4074983844388946
26,2024-01-09,467.4618922912333,470.4933040443616,466.9467608973813,469.453125,65931400,0.1519335579963388
27,2024-01-10,469.7304891440239,472.98976304135465,469.4431898049612,472.1080627441406,67310600,-0.562358060294232
28,2024-01-11,473.1284614651111,473.6535091188515,467.8482663900417,471.9000549316406,77940700,0.0440787853966518
29,2024-01-12,473.37609581479774,474.1290056975826,470.7904925054783,472.2269287109375,57944000,-0.0692196398433184
30,2024-01-16,470.82018972637456,472.15755400789806,468.6407297603959,470.4932556152344,85014900,0.3684799038056581
31,2024-01-17,467.4123496512704,468.37328929498045,465.4805541076557,467.8779602050781,68843900,0.5589695674081177
32,2024-01-18,469.58191376341534,472.60340924931336,468.0067708173989,472.0387268066406,91856200,-0.8814460266237559
33,2024-01-19,473.1879031049547,478.210547646208,472.0882869682551,477.9232482910156,110733300,-1.2312691431976153
34,2024-01-22,479.4884819901658,480.6871699394035,478.2699615282619,478.9337158203125,75844900,-0.2109827510402263
35,2024-01-23,479.48850057740646,480.5782004466888,478.3789681946892,480.3305358886719,49945300,-0.290803928543723
36,2024-01-24,483.2529666972783,484.2039900895671,480.3503454716801,480.8555908203125,81765000,-0.1091918117755293
37,2024-01-25,483.025108468176,483.7482998328031,480.855594839272,483.4709167480469,72525000,-0.540947932364939
38,2024-01-26,483.03503119204345,484.5507370384146,481.9948521684024,482.8567199707031,76641600,0.1272006274202864
39,2024-01-29,483.173695054988,486.82922593111886,482.6189289271864,486.68060302734375,61322800,-0.7857068954165374
40,2024-01-30,485.9772650953906,487.0273603275679,485.5314568298961,486.30419921875,58618400,0.0774008962288305
41,2024-01-31,484.0553867355316,484.51108102538456,478.3491860426366,478.3690185546875,126011100,1.6587990351125437
42,2024-02-01,480.10271987289457,484.6597539390453,479.2804565826319,484.6300354003906,91891600,-1.2919168001072017
43,2024-02-02,485.07579729239103,491.41600393121706,484.7290608646644,489.7319030761719,99147700,-1.0417674739453755
44,2024-02-05,489.0879811036664,489.7616214454528,485.6503958302245,487.9486999511719,75757100,0.3654488935370545
45,2024-02-06,488.9096318985396,489.7021766108688,487.4533631116548,489.3653564453125,55918600,-0.2894885131287259
46,2024-02-07,491.6537495175983,493.8728141343577,490.7324144468116,493.4468383789063,70556500,-0.8271371130884977
47,2024-02-08,493.4468489114707,494.0511358938485,492.6146996624238,493.664794921875,52343600,-0.0441507162776804
48,2024-02-09,494.1799446895001,496.9636918795368,493.8332082647024,496.5179138183594,63979400,-0.5746255708163892
49,2024-02-12,496.4881847525039,498.7964050625139,495.5668496472956,496.2999572753906,56502300,0.0439162929139259
50,2024-02-13,489.9101942655281,492.4462768173364,486.1357889742631,489.4643859863281,113099200,1.3965410936462768
51,2024-02-14,492.1491051651197,494.407804695521,489.78141750971525,493.9124755859375,68387800,-0.9005825565212792
52,2024-02-15,494.6257514481394,497.5085704980988,494.14030836193314,497.3203430175781,61683000,-0.6852459344338889
53,2024-02-16,497.01323284937166,498.1722860174137,494.09077905569575,494.84368896484375,75461200,0.5004921974280911
54,2024-02-20,493.0704081873296,493.7539647745674,489.8309667066077,492.119384765625,71736700,0.5535860369565034
55,2024-02-21,490.79186821143486,492.7236334417557,488.9492283531813,492.5651245117188,59603800,-0.0904935660103043
56,2024-02-22,499.3016154744796,503.7397445631879,498.3208433643516,502.7590026855469,76402500,-2.02758739662071
57,2024-02-23,504.51249164240943,505.3644734170129,502.3627802742907,503.1057739257813,61321800,-0.0689261102150521
58,2024-02-26,503.5515405345839,503.9973488083434,501.1343321580638,501.26312255859375,50386700,0.3676016216357724
59,2024-02-27,501.96650390851926,502.4221981989686,500.0347083952749,502.1943359375,48854500,-0.1854288892302726
60,2024-02-28,500.60930452803296,502.1250103938732,500.2427658241844,501.5306396484375,56506600,0.1323341460309857
