contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDateCalls
SPY241213C00555000,2024-12-12 20:00:45+00:00,555.0,50.37,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00556000,2024-12-09 20:49:59+00:00,556.0,49.02,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00557000,2024-12-05 15:32:26+00:00,557.0,51.04,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00558000,2024-12-10 16:31:35+00:00,558.0,47.65,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00559000,2024-12-05 19:32:13+00:00,559.0,49.27,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00560000,2024-12-12 18:17:50+00:00,560.0,47.02,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00561000,2024-12-12 21:10:27+00:00,561.0,43.38,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00562000,2024-12-12 19:16:13+00:00,562.0,43.93,0.0,0.0,0.0,0.0,100.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00563000,2024-12-11 15:52:46+00:00,563.0,44.15,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00564000,2024-12-12 16:35:48+00:00,564.0,43.6,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00565000,2024-12-12 20:07:43+00:00,565.0,40.37,0.0,0.0,0.0,0.0,57.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00566000,2024-12-12 15:54:00+00:00,566.0,40.78,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00567000,2024-12-12 18:55:41+00:00,567.0,39.21,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00568000,2024-12-10 18:10:45+00:00,568.0,36.82,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00569000,2024-12-09 15:12:40+00:00,569.0,39.44,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00570000,2024-12-12 20:43:52+00:00,570.0,35.2,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00571000,2024-12-10 16:40:10+00:00,571.0,34.09,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00572000,2024-12-12 20:33:43+00:00,572.0,33.6,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00572500,2024-12-02 20:17:39+00:00,572.5,32.86,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00573000,2024-12-12 20:40:25+00:00,573.0,32.26,0.0,0.0,0.0,0.0,9.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00574000,2024-12-12 17:25:58+00:00,574.0,32.7,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00575000,2024-12-12 18:45:15+00:00,575.0,31.18,0.0,0.0,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00576000,2024-12-12 20:39:16+00:00,576.0,29.4,0.0,0.0,0.0,0.0,84.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00577000,2024-12-12 19:37:54+00:00,577.0,28.54,0.0,0.0,0.0,0.0,92.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00577500,2024-12-11 14:50:44+00:00,577.5,29.59,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00578000,2024-12-12 20:16:03+00:00,578.0,27.23,0.0,0.0,0.0,0.0,18.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00579000,2024-12-12 17:09:46+00:00,579.0,27.67,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00580000,2024-12-12 21:14:40+00:00,580.0,24.17,0.0,0.0,0.0,0.0,47.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00581000,2024-12-12 20:37:56+00:00,581.0,24.44,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00582000,2024-12-12 20:05:12+00:00,582.0,23.5,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00582500,2024-12-10 21:13:07+00:00,582.5,21.35,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00583000,2024-12-12 20:35:17+00:00,583.0,22.58,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00584000,2024-12-11 20:26:07+00:00,584.0,24.47,0.0,0.0,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00585000,2024-12-12 20:55:15+00:00,585.0,19.89,0.0,0.0,0.0,0.0,401.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
